CUI1,CUI2
C0001627,C0268285
C0001627,C0268292
C0001627,C0342471
C0001627,C0342474
C0001627,C0852654
C0002170,C0002171
C0002170,C0162311
C0002170,C0265992
C0002170,C1859877
C0002170,C1863092
C0002170,C2676272
C0002170,C2678038
C0002171,C1853104
C0002171,C1863094
C0002312,C3161174
C0002312,C3278364
C0002395,C1837149
C0002395,C1846735
C0002395,C1853360
C0002395,C1853555
C0002395,C1854187
C0002395,C1864828
C0002395,C1970143
C0002395,C1970144
C0002395,C1970147
C0002395,C1970209
C0002395,C2677888
C0002395,CN043596
C0002395,CN043623
C0002514,C0019880
C0002514,C0024776
C0002514,C0031485
C0002514,C0175683
C0002514,C0268490
C0002514,C0268547
C0002736,C1837728
C0002736,C1842674
C0002736,C1842675
C0002736,C1847735
C0002736,C1862939
C0002736,C1865409
C0002736,C2675491
C0002736,C2677565
C0002736,C2678468
C0002736,CN239582
C0002876,C0271933
C0002876,C0271934
C0002876,C1306589
C0002876,C1845837
C0002876,C3150926
C0004114,C0017636
C0004238,C1837014
C0004238,C1862394
C0004238,C2677106
C0004238,C3151431
C0004238,C3279693
C0004238,C3279695
C0005283,C0271979
C0005283,C0472767
C0005283,C0599528
C0005283,C0869532
C0005684,C0699885
C0006118,C0153633
C0006118,C0496899
C0007193,C0340427
C0007222,C0027051
C0007570,C1846631
C0007570,C1857845
C0007570,C1857846
C0007570,C1857847
C0007570,C1859310
C0007570,C1969030
C0007570,C2677601
C0007570,C2677602
C0007570,C2677603
C0007570,C2677604
C0007570,C2677605
C0007570,C2677606
C0007570,C2677607
C0007959,C0270914
C0007959,C0751036
C0007959,C1842237
C0007959,C3280845
C0007959,C3554654
C0007959,CN043578
C0007959,CN118851
C0008533,C4016497
C0008533,CN043453
C0008533,CN043454
C0008626,C0949683
C0008626,C0969687
C0008780,C0022521
C0008780,C1837615
C0008780,C1837616
C0008780,C1837618
C0008780,C1847554
C0008780,C1970506
C0008780,C2675228
C0008780,C2675229
C0008780,C2675867
C0008780,C2676235
C0008780,C2677085
C0008780,C2678473
C0008780,C2750790
C0008780,C3151136
C0008780,C3151137
C0008780,C3151460
C0008780,C3540844
C0008780,C3542550
C0008780,C3543825
C0008780,C3543826
C0008780,C3809087
C0008780,C3809543
C0008780,C3809548
C0008780,C3809634
C0009207,C0751038
C0009207,C0751039
C0010073,C3149657
C0010073,C3149706
C0010073,CN068477
C0010278,C1833340
C0010278,C1858160
C0010278,C3715051
C0010278,CN029978
C0010308,C0271789
C0010308,C0342195
C0010308,C1291299
C0010308,C1563716
C0010308,C1846632
C0010308,C3493776
C0013261,C0751083
C0013261,C0994516
C0013581,C1644196
C0013581,C1851286
C0013581,C2673634
C0013902,C1851741
C0013902,C1862324
C0013902,C1866810
C0013902,C2678497
C0014130,C0001627
C0014474,C0206725
C0014553,C1838604
C0014553,C1843244
C0014553,C1970160
C0014553,C2677087
C0014553,C2749872
C0015625,C1835817
C0015625,C1836860
C0015625,C1836861
C0015625,C1838457
C0015625,C1845292
C0015625,C3150653
C0015625,C3160738
C0015625,C3160739
C0015625,C3468041
C0015625,C3469521
C0015625,C3469526
C0015625,C3469527
C0015625,C3469528
C0015625,C3469529
C0015625,C3469542
C0016719,C1856689
C0016719,C1865981
C0016952,C0268151
C0016952,C0268155
C0016952,C0751161
C0017205,C0268250
C0017205,C0268251
C0017205,C1842704
C0017205,C1856476
C0017205,C1856491
C0017205,C1856492
C0017205,C1856493
C0017205,C1864651
C0017205,C1961835
C0017601,C1835933
C0017601,C1837527
C0017601,C1837528
C0017601,C1842028
C0017601,C1857852
C0017601,C1863926
C0017601,C1864653
C0017601,C1865427
C0017601,C1866483
C0017601,C1969811
C0017601,C1969812
C0017601,C2751294
C0017601,C3887942
C0017601,CN244415
C0017638,C0004114
C0017638,C0014474
C0017638,C0025149
C0017638,C0028945
C0017638,C0280793
C0017638,C2750850
C0017919,C0017920
C0017919,C0017921
C0017919,C0017922
C0017919,C0017923
C0017919,C0017924
C0017919,C0017926
C0017919,C0268147
C0017919,C0268149
C0017919,C0272066
C0017919,C2752015
C0017919,C2752027
C0017919,C3150754
C0017920,C0268146
C0017920,C2919796
C0017921,C0751173
C0017922,C1968739
C0017922,C1968740
C0017922,C1968741
C0017922,C1968742
C0018203,C1844376
C0018203,C1856245
C0018203,C1856251
C0018203,C1856255
C0018203,C3151409
C0018817,C1842778
C0018817,C1862389
C0018817,C1969657
C0018817,C2748552
C0018817,C2751315
C0018817,C3279790
C0019045,C0002895
C0019045,C0019034
C0019045,C0039730
C0019045,C0221019
C0019045,C0272084
C0019045,C1264000
C0019069,C1844137
C0019250,C0001733
C0019250,C1260903
C0019250,C1859970
C0019250,C2584774
C0019569,C1838564
C0019569,C1968840
C0019569,C1969482
C0019569,C1969836
C0019569,C1969837
C0019569,C1970723
C0019569,C2931739
C0019569,C2931876
C0019569,C3150975
C0019569,C3151237
C0020072,C2751092
C0020072,C2752089
C0020072,C3280168
C0020179,C0751208
C0020179,C1279186
C0020476,C0020445
C0020476,C0020479
C0020476,C0020481
C0020476,C0023817
C0020476,CN074246
C0020501,C0268164
C0020501,C0268165
C0020501,C3150878
C0020630,C0220743
C0020630,C0268412
C0020630,C0268413
C0020758,C0239849
C0020758,C1832550
C0020758,C1847849
C0020758,C1855792
C0020758,C1858142
C0020758,C2677065
C0020758,C3536797
C0020758,C3553029
C0020758,C3554348
C0020758,C3554349
C0020758,C3554355
C0022738,C1859209
C0022738,C1861689
C0022738,C3150967
C0023264,C0034341
C0023264,C0034345
C0023264,C1834340
C0023264,C1838951
C0023264,C1850597
C0023264,C1850598
C0023264,C1850600
C0023264,C1857355
C0023264,C3502630
C0023264,CN043625
C0023786,C0026708
C0023786,C0086431
C0023786,C0086795
C0024115,CN163264
C0024121,C0684249
C0024141,C1835919
C0024141,C1835929
C0024141,C1842057
C0024141,C1854235
C0024141,C1854577
C0024141,C1864731
C0024141,C1864732
C0024141,C1866373
C0024141,C1970455
C0024141,C2676487
C0024141,C2677095
C0024141,C2677096
C0024141,C2677097
C0024141,C2751054
C0024591,C1835161
C0024591,C1838102
C0024591,C1866076
C0024591,C2930982
C0024591,C2930984
C0024591,CN031421
C0024776,C1855369
C0024776,C1855371
C0025202,C0151779
C0026706,C0086647
C0026706,C0086648
C0026706,C0086649
C0026706,C0086650
C0026707,C0086651
C0026707,C0086652
C0026847,C0043116
C0026847,C0152109
C0026847,C0393538
C0026847,C1838230
C0027127,C0751360
C0027127,C2936781
C0027708,C1832099
C0027708,C1832426
C0027708,C1860265
C0027708,CN033288
C0027819,C2749485
C0027819,C2751681
C0027819,C2751682
C0027877,C0751383
C0027877,C1834207
C0027877,C1836841
C0027877,C1838570
C0027877,C1838571
C0027877,C1850442
C0027877,C1850451
C0027877,C1864669
C0027877,C1866282
C0027877,C1876161
C0028064,C0220756
C0028064,C0268242
C0028064,C0268243
C0028326,C0041409
C0028326,C1853120
C0028326,C1854469
C0028326,C1860991
C0028326,C1969057
C0028326,C2750732
C0028326,C3150970
C0028326,C3809233
C0029434,C0023931
C0029434,C0268360
C0029434,C0268362
C0029434,C0268363
C0029434,C1850169
C0029434,C1853162
C0029434,C1970414
C0029434,C1970458
C0029434,C3151211
C0029434,C3151218
C0029434,C3151433
C0029434,C3279564
C0030567,C0238344
C0030567,C1838867
C0030567,C1843211
C0030567,C1845165
C0030567,C1846862
C0030567,C1847360
C0030567,C1847640
C0030567,C1850100
C0030567,C1853202
C0030567,C1853445
C0030567,C1853833
C0030567,C1854182
C0030567,C1865581
C0030567,C1868595
C0030567,C1868675
C0030567,C1970035
C0030567,C2751012
C0030567,C2751842
C0030567,C3150899
C0030567,C3160718
C0030567,C3280133
C0031485,C0085547
C0031485,C0268465
C0034013,C0342543
C0034013,C0342549
C0034345,C1839413
C0034345,C1855553
C0034345,C1855565
C0034345,C3279841
C0034345,CN043137
C0035334,C0220701
C0035334,C1419614
C0035334,C1832378
C0035334,C1833245
C0035334,C1834329
C0035334,C1835895
C0035334,C1835923
C0035334,C1838601
C0035334,C1838603
C0035334,C1838647
C0035334,C1838702
C0035334,C1842127
C0035334,C1842475
C0035334,C1842816
C0035334,C1843816
C0035334,C1853214
C0035334,C1858677
C0035334,C1864446
C0035334,C1864621
C0035334,C1866422
C0035334,C1867299
C0035334,C1867300
C0035334,C1970163
C0035334,C2675186
C0035334,C2675496
C0035334,C2677516
C0035334,C2681923
C0035334,C2751763
C0035334,C2751986
C0035334,C3150691
C0035334,C3150715
C0035334,C3150819
C0035334,C3150879
C0035334,C3151001
C0035334,C3151061
C0035334,C3151066
C0035334,C3151068
C0035334,C3151086
C0035334,C3151107
C0035334,C3151138
C0035334,C3151139
C0035334,C3151190
C0035334,C3151227
C0035334,C3151228
C0035334,C3151434
C0035334,C3280042
C0035334,C3281046
C0035334,CN043634
C0035372,C1968556
C0036341,C0220702
C0036341,C0543918
C0036341,C1833247
C0036341,C1837893
C0036341,C1838069
C0036341,C1842605
C0036341,C1858050
C0036341,C1864010
C0036341,C1864124
C0036341,C1864152
C0036341,C1864153
C0036341,C1864275
C0036341,C2677614
C0036341,C2751663
C0036341,C3151380
C0036341,C3151408
C0036341,C3280524
C0036341,C3808913
C0036868,C0221033
C0036868,CN179857
C0037889,C2674218
C0037889,C2674219
C0037889,C2675192
C0037889,C2675212
C0037889,C2678338
C0039373,C1848914
C0039373,CN120377
C0039445,C1832774
C0039445,C1832942
C0039445,C1838163
C0039445,C1857688
C0039445,CN034812
C0039585,C0936016
C0039585,CN035075
C0039585,CN037063
C0039730,C0002312
C0039730,C0005283
C0040761,C1415817
C0040761,C1837341
C0040761,C3151221
C0041341,C1838327
C0041341,C1854465
C0041341,C1860707
C0042065,C0005684
C0042065,C0007134
C0042065,C0015558
C0042065,C0042138
C0042065,C0153594
C0042065,C0153619
C0042065,C0241961
C0042065,C0346255
C0042065,C0376358
C0042065,C0474809
C0042065,C0919267
C0042065,CN182936
C0042138,C0007873
C0042138,C0014170
C0042974,C1264039
C0042974,C1282968
C0042974,C1282971
C0043346,C0268135
C0043346,C0268138
C0043346,C0268140
C0043346,C0268141
C0043346,C1848410
C0043346,C1848411
C0043346,C1970808
C0043346,C2752147
C0043346,CN119607
C0078918,C0268495
C0078918,C1847836
C0078918,C3808786
C0078918,C3888401
C0078918,CN119529
C0079298,C0079295
C0079298,C0079299
C0079298,C0080333
C0079298,C0432316
C0079301,C0079683
C0079301,C0268374
C0079504,C1842362
C0079504,C2931875
C0079504,C3279756
C0079504,C3280026
C0079504,C3484357
C0079504,C3888001
C0079504,C3888004
C0079504,C3888007
C0079504,C3888026
C0079541,C1832424
C0079541,C1834877
C0079541,C1835819
C0079541,C1835820
C0079541,C1836254
C0079541,C1840528
C0079541,C1840529
C0079541,C1844016
C0079541,C1845146
C0079541,C1849649
C0079541,C1853187
C0079541,C1853830
C0079541,C1855550
C0079541,C1864827
C0079541,C1876185
C0079541,C2675857
C0079541,CN072874
C0079541,CN072875
C0079541,CN072876
C0079541,CN072877
C0079541,CN120371
C0085110,C1279481
C0085110,C1863236
C0085131,C0268271
C0085131,C0268272
C0085131,C0268273
C0085215,C1837008
C0085215,C1845105
C0085215,C1845293
C0085215,C1845295
C0085215,C1969060
C0085215,C2676742
C0085215,C2751825
C0085215,C3494522
C0085280,C1857761
C0085280,C1956125
C0085390,C1835398
C0085390,C1836482
C0087012,CN226644
C0087012,CN227858
C0151779,C1512419
C0152171,C3809192
C0152171,C3809198
C0152171,C3888002
C0152200,C1841721
C0152200,C1849792
C0152200,C1857618
C0152200,C2751309
C0152264,C1837915
C0152264,C1853286
C0152264,C2673187
C0153594,C0036631
C0153594,C0238451
C0154246,C0175683
C0154246,C0268542
C0154246,C0268543
C0154246,C0268547
C0154246,C0268548
C0154246,C0751753
C0158981,C0342273
C0158981,C1833104
C0162283,C1563705
C0162283,C1563706
C0162534,C0017495
C0162534,C0022336
C0162534,C0206042
C0162809,C1563719
C0162809,C1563720
C0162809,C1857720
C0162809,C2675188
C0162809,C2675302
C0162809,C2930927
C0175693,CN201475
C0175704,C1969056
C0175704,C3150971
C0175704,CN074218
C0175709,C0410203
C0175709,C0410204
C0175709,C1834558
C0206157,C1836447
C0206157,C1836448
C0206157,C1836472
C0206157,C1850569
C0206157,C1853154
C0206157,C1854380
C0206157,C3711389
C0206157,C3809209
C0220663,C2931135
C0220663,C2931136
C0220756,C1843366
C0220756,C3179455
C0221032,C1720862
C0221032,C1720863
C0234166,C1835614
C0234166,C1845102
C0234166,C3553288
C0234166,C3553291
C0235974,C2931038
C0236038,C0027832
C0236038,C0220754
C0236038,C0265253
C0236038,C0339534
C0236038,C0342680
C0236038,C0751651
C0236038,C0796074
C0236038,C1567741
C0236038,C1568247
C0236038,C1568248
C0236038,C1832200
C0236038,C1847800
C0236038,C1848519
C0236038,C2700265
C0236038,C2750452
C0236038,C2750457
C0236038,CN034131
C0236038,CN043574
C0236038,CN043648
C0236792,C1837434
C0236792,C1837646
C0236792,C1837697
C0236792,C1845334
C0236792,C1845341
C0236792,C1864961
C0238358,C2750061
C0238358,C3714580
C0242383,C1837187
C0242383,C1853147
C0242383,C1857813
C0242383,C1864205
C0242383,C1969108
C0242383,C1969651
C0242383,C2677774
C0242383,C3151060
C0242383,C3151063
C0242383,C3151070
C0242383,C3495438
C0242387,C1855433
C0242387,C3150983
C0242387,CN119605
C0265215,C1846357
C0265215,C1864148
C0265215,C1969052
C0265215,C1970161
C0265215,C2673885
C0265215,C2676790
C0265215,C3280036
C0265215,C3280155
C0265215,C3714506
C0265215,C3836857
C0265253,C1858084
C0265253,C1861481
C0265253,C2020284
C0265253,C3279941
C0265253,C3280342
C0265268,C3280182
C0265268,C3553748
C0265268,C3809092
C0265268,CN028867
C0265275,C1970005
C0265275,C3151185
C0265275,C3280598
C0265275,CN119532
C0265301,C3280402
C0265301,CN032489
C0265313,C1869114
C0265313,C1869115
C0265313,C3553785
C0265334,C1706595
C0265334,C1721007
C0265334,C3714948
C0265334,C3714949
C0265341,C1832229
C0265341,C2678503
C0265341,C3714873
C0265343,C1852521
C0265343,CN043670
C0265554,C1847622
C0265965,C1148551
C0265965,C1851970
C0265965,C1857144
C0265965,C3151441
C0265965,C3151442
C0265965,C3151444
C0265965,C3554656
C0266463,C0431375
C0266463,C0796089
C0266463,C1846171
C0266463,C1848199
C0266463,C1969029
C0266463,C3554657
C0268060,C1865614
C0268060,C1865616
C0268119,C1854988
C0268119,C1854989
C0268119,C1854990
C0268147,C0017927
C0268147,C0543514
C0268147,C1845151
C0268147,C2751643
C0268293,C3463917
C0268293,CN074214
C0268345,C1851801
C0268345,C2700425
C0268345,CN071434
C0268350,C3276539
C0268350,C3280794
C0268350,C4225268
C0268351,C0268354
C0268351,C0268355
C0268351,C2751987
C0268351,C3280798
C0268351,C3280799
C0268351,CN033664
C0268583,C1848552
C0268583,C1855100
C0268583,C1855102
C0268583,C1855109
C0268583,C1855114
C0268600,C1859499
C0268600,CN028786
C0268634,C0220710
C0268634,C0268596
C0268634,C0342788
C0268634,C0342791
C0268634,C1833511
C0268634,C3887523
C0268743,CN071292
C0268743,CN120381
C0270736,C1860861
C0270736,C1865810
C0270736,C1969617
C0270736,C2678494
C0270850,C0014553
C0270850,C1850778
C0270914,C1833219
C0270914,C1837552
C0270914,C1842983
C0270914,C1843153
C0270914,C1843173
C0270914,C1843225
C0270914,C1847823
C0270914,C2079538
C0270914,C2079540
C0270914,C2750090
C0270914,C3280220
C0270914,C3280797
C0270914,C3888087
C0270914,CN118836
C0270914,CN118848
C0270972,C1802395
C0270972,C1853099
C0270972,C3550903
C0270972,C3553517
C0270972,CN029798
C0270984,C0017921
C0270984,C0268123
C0271093,C1838644
C0271093,C1855465
C0271093,C1863534
C0271694,C1720859
C0271694,C1720860
C0271694,C1720861
C0271694,C3151268
C0271694,C3808940
C0271694,C4014869
C0272087,C0268193
C0272087,C0472786
C0272087,C2673427
C0272199,C1837174
C0272199,C1863727
C0272199,C1863728
C0272199,C2751293
C0272199,CN034020
C0282529,C1838612
C0282529,C1857242
C0282529,C1859133
C0282577,C0349653
C0282577,C0398739
C0282577,C1832736
C0282577,C1835849
C0282577,C1836669
C0282577,C1837396
C0282577,C1842836
C0282577,C1846816
C0282577,C1853736
C0282577,C1865145
C0282577,C1970021
C0282577,C1970344
C0282577,C2677590
C0282577,C2752007
C0282577,C2752015
C0282577,C2930997
C0282577,C2931001
C0282577,C2931002
C0282577,C2931004
C0282577,C2931005
C0282577,C2931006
C0282577,C2931008
C0282577,C2931010
C0282577,C3150191
C0282577,C3150736
C0282577,C3150876
C0282577,C3150913
C0282577,C3550904
C0282577,C3553230
C0282577,C3554385
C0282577,C3808991
C0338484,C1832884
C0338484,C1864987
C0338484,C1865322
C0339527,C1837873
C0339527,C1840284
C0339527,C1854260
C0339527,C1857743
C0339527,C1857821
C0339527,C1858301
C0339527,C1858386
C0339527,C1858677
C0339527,C1859844
C0339527,C2675186
C0339527,C2750063
C0339527,C2931258
C0339527,C3151192
C0339527,C3151202
C0339527,C3151206
C0339527,C3280062
C0339534,C1568249
C0339534,C1848634
C0339534,C2931213
C0339535,C1850362
C0339535,C2750747
C0339535,CN043584
C0340427,C0574083
C0340427,C1449563
C0340427,C1832243
C0340427,C1832244
C0340427,C1832680
C0340427,C1834481
C0340427,C1835926
C0340427,C1835928
C0340427,C1837839
C0340427,C1843791
C0340427,C1843808
C0340427,C1847667
C0340427,C1854159
C0340427,C1854368
C0340427,C1858154
C0340427,C1858591
C0340427,C1858763
C0340427,C1969024
C0340427,C1969639
C0340427,C2677338
C0340427,C2678474
C0340427,C2678475
C0340427,C2678476
C0340427,C2750091
C0340427,C2750466
C0340427,C2750995
C0340427,C2751084
C0340427,C2752072
C0340427,C3150681
C0340427,C3150898
C0340427,C3150958
C0340427,C3151039
C0340427,C3151293
C0340427,C3554649
C0340427,C3808935
C0340429,C1861861
C0340429,C1865071
C0340429,C2676271
C0340493,C2751829
C0340493,C2751898
C0342273,C1832386
C0342273,C1835887
C0342381,C0271567
C0342381,C0342573
C0342381,C0472813
C0342779,C2700431
C0342779,C3279699
C0342779,C3279708
C0342801,CN077959
C0342801,CN077995
C0342801,CN078017
C0343073,C1848435
C0343073,C1860238
C0345893,C1832942
C0346153,C0004135
C0346153,C0031269
C0346153,C0085390
C0346153,C0677776
C0346153,C1835817
C0346153,C1836860
C0346153,C1861906
C0346153,C1959582
C0346153,C3469522
C0346153,C4016951
C0349788,C1832931
C0349788,C1836704
C0349788,C1836906
C0349788,C1843896
C0349788,C1857777
C0349788,C1858378
C0349788,C1858379
C0349788,C1862511
C0349788,C1864850
C0349788,C1865881
C0349788,C1865882
C0349788,C1969081
C0376358,CN036094
C0392514,C0268060
C0392514,C1853733
C0392514,C1858664
C0392514,C3469186
